20200521-205248,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200521-211231,INFO,104,45.08,30.12,57.84,1020.84,25.1,66.0,5.02,-8.16,2.98,1.56
20200521-211351,INFO,105,45.08,30.05,57.04,1020.88,25.1,68.3,4.95,-11.26,3.04,1.06
20200521-211430,INFO,106,45.08,29.72,57.33,1020.82,25.1,66.0,4.62,-8.67,3.32,1.41
20200521-211510,INFO,107,44.01,29.81,57.46,1020.77,25.0,67.0,4.81,-9.54,2.95,1.41
20200521-211550,INFO,108,44.55,30.0,58.21,1020.82,24.9,67.1,5.1,-8.89,2.85,1.54
20200521-211629,INFO,109,44.55,30.41,58.11,1020.83,24.9,69.0,5.51,-10.89,2.57,1.25
20200521-211709,INFO,110,44.55,30.89,57.65,1020.84,25.0,69.0,5.89,-11.35,2.32,1.15
20200521-211749,INFO,111,45.08,31.09,56.86,1020.83,25.0,69.0,6.09,-12.14,2.3,0.97
20200521-211828,INFO,112,45.08,31.39,56.55,1020.82,25.0,69.4,6.39,-12.85,2.14,0.89
20200521-211908,INFO,113,45.08,31.45,56.06,1020.8,25.1,69.5,6.35,-13.44,2.15,0.82
20200521-212027,INFO,114,45.08,31.58,55.9,1020.81,25.1,69.4,6.48,-13.5,2.08,0.8
20200521-212107,INFO,115,45.08,31.59,56.07,1020.83,25.1,69.4,6.49,-13.33,2.08,0.82
20200521-212147,INFO,116,45.08,31.5,55.79,1020.83,25.1,69.4,6.4,-13.61,2.12,0.79
20200521-212226,INFO,117,45.08,31.63,56.37,1020.85,25.1,69.4,6.53,-13.03,2.06,0.87
20200521-212306,INFO,118,45.08,31.58,55.25,1020.86,25.1,69.4,6.48,-14.15,2.08,0.72
20200521-212346,INFO,119,45.08,31.68,55.96,1020.9,25.1,69.3,6.58,-13.34,2.04,0.82
20200521-212425,INFO,120,45.08,31.43,55.58,1020.95,25.1,69.3,6.33,-13.72,2.16,0.77
20200521-212505,INFO,121,45.08,31.65,54.96,1020.91,25.1,69.2,6.55,-14.24,2.05,0.69
20200521-212545,INFO,122,45.08,31.18,55.82,1020.93,25.1,69.2,6.08,-13.38,2.29,0.8
20200521-212624,INFO,123,45.08,31.03,56.18,1020.9,25.2,69.3,5.83,-13.12,2.41,0.85
20200521-212704,INFO,124,45.08,30.92,56.82,1020.88,25.2,69.1,5.72,-12.28,2.48,0.96
20200521-212744,INFO,125,45.08,30.87,57.26,1020.96,25.3,69.2,5.57,-11.94,2.55,1.02
20200521-212823,INFO,126,45.08,30.58,57.97,1020.87,25.3,69.2,5.28,-11.23,2.75,1.15
20200521-212903,INFO,127,45.08,30.67,57.99,1020.88,25.3,69.2,5.37,-11.21,2.68,1.15
20200521-212943,INFO,128,45.08,30.47,58.37,1020.88,25.3,69.3,5.17,-10.93,2.83,1.22
20200521-213022,INFO,129,45.08,30.34,58.3,1020.93,25.3,69.2,5.04,-10.9,2.92,1.21
20200521-213102,INFO,130,45.08,30.6,58.11,1020.9,25.3,69.3,5.3,-11.19,2.73,1.16
20200521-213142,INFO,131,45.62,30.92,57.66,1020.93,25.3,69.2,5.62,-11.54,2.62,1.04
20200521-213221,INFO,132,45.08,30.85,57.59,1020.92,25.3,69.2,5.55,-11.61,2.56,1.08
20200521-213341,INFO,133,45.08,31.19,57.41,1020.97,25.3,69.2,5.89,-11.79,2.36,1.05
20200521-213420,INFO,134,45.08,31.47,57.13,1021.0,25.3,69.0,6.17,-11.87,2.21,1.02
20200521-213500,INFO,135,45.08,31.56,56.99,1020.97,25.3,69.0,6.26,-12.01,2.16,0.99
20200521-213540,INFO,136,45.08,31.72,54.53,1020.98,25.3,69.0,6.42,-14.47,2.08,0.65
20200521-213619,INFO,137,45.08,31.74,56.0,1020.94,25.3,69.1,6.44,-13.1,2.07,0.83
20200521-213659,INFO,138,45.08,31.83,55.78,1020.94,25.2,69.1,6.63,-13.32,2.0,0.8
20200521-213739,INFO,139,45.62,31.74,55.47,1020.87,25.2,69.3,6.54,-13.83,2.12,0.71
20200521-213818,INFO,140,45.08,31.7,55.69,1020.91,25.2,69.4,6.5,-13.71,2.06,0.77
20200521-213858,INFO,141,45.08,31.83,55.35,1020.93,25.2,69.5,6.63,-14.15,2.0,0.73
