20200522-085523,INFO,____Sample,__DHT_Temp,_DHT_Humid
20200522-124138,INFO,351,23.5,77.7
20200522-124207,INFO,352,23.5,77.3
20200522-124305,INFO,353,23.5,78.8
20200522-124334,INFO,354,23.5,80.8
20200522-124403,INFO,355,23.4,79.8
20200522-124433,INFO,356,23.4,80.8
20200522-124502,INFO,357,23.5,80.4
20200522-124531,INFO,358,23.5,79.9
20200522-124600,INFO,359,23.5,79.1
20200522-124629,INFO,360,23.5,80.5
20200522-124658,INFO,361,23.5,81.0
20200522-124727,INFO,362,23.5,81.3
20200522-124756,INFO,363,23.5,81.5
20200522-124825,INFO,364,23.6,79.1
20200522-124854,INFO,365,23.7,79.3
20200522-124923,INFO,366,23.7,80.5
20200522-124952,INFO,367,23.7,80.0
20200522-125021,INFO,368,23.8,80.2
20200522-125050,INFO,369,23.7,76.8
20200522-125119,INFO,370,23.7,77.0
20200522-125217,INFO,371,23.8,77.9
20200522-125246,INFO,372,23.8,77.6
20200522-125316,INFO,373,23.9,78.4
20200522-125414,INFO,374,23.8,77.8
20200522-125443,INFO,375,23.8,78.6
20200522-125512,INFO,376,23.9,77.7
20200522-125541,INFO,377,23.9,76.4
20200522-125610,INFO,378,23.9,78.0
20200522-125708,INFO,379,23.9,78.8
20200522-125737,INFO,380,23.9,79.5
20200522-125806,INFO,381,24.0,78.9
20200522-125835,INFO,382,24.0,76.7
20200522-125904,INFO,383,24.0,72.5
20200522-125933,INFO,384,23.9,74.3
20200522-130002,INFO,385,23.9,76.4
20200522-130031,INFO,386,23.9,76.4
20200522-130100,INFO,387,23.9,76.4
20200522-130130,INFO,388,23.8,77.0
20200522-130159,INFO,389,23.8,75.9
20200522-130228,INFO,390,23.8,76.8
20200522-130257,INFO,391,23.8,76.4
20200522-130326,INFO,392,23.8,76.4
20200522-130424,INFO,393,23.8,77.4
20200522-130551,INFO,394,23.8,76.9
20200522-130620,INFO,395,23.8,78.0
20200522-130718,INFO,396,23.8,77.5
20200522-130747,INFO,397,23.9,77.2
20200522-130816,INFO,398,23.9,76.9
20200522-130845,INFO,399,23.9,76.4
20200522-130914,INFO,400,24.0,77.4
20200522-130944,INFO,401,24.0,77.7
20200522-131013,INFO,402,24.1,77.4
20200522-131042,INFO,403,24.1,77.6
20200522-131111,INFO,404,24.2,76.6
20200522-131140,INFO,405,24.2,75.0
20200522-131209,INFO,406,24.2,74.1
20200522-131238,INFO,407,24.2,72.8
20200522-131307,INFO,408,24.1,73.5
20200522-131336,INFO,409,24.1,76.0
20200522-131434,INFO,410,24.1,76.9
20200522-131503,INFO,411,24.1,77.1
20200522-131532,INFO,412,24.1,75.5
20200522-131601,INFO,413,24.2,74.3
20200522-131630,INFO,414,24.2,72.8
20200522-131659,INFO,415,24.2,71.8
20200522-131728,INFO,416,24.1,73.6
20200522-131757,INFO,417,24.2,74.5
20200522-131827,INFO,418,24.2,76.6
20200522-131856,INFO,419,24.3,76.1
20200522-131925,INFO,420,24.3,76.0
20200522-131954,INFO,421,24.3,74.0
20200522-132023,INFO,422,24.3,73.7
20200522-132052,INFO,423,24.4,73.8
20200522-132121,INFO,424,24.3,71.9
20200522-132150,INFO,425,24.4,73.3
20200522-132219,INFO,426,24.4,73.6
